0.933 1.213 1.078 0.613 1.142
1.22 1.001 1.454 1.184 1.239
0.553 0.952 1.45 1.605 1.233
1.426 1.425 1.24 0.942 0.769
1.045 1.005 1.023 0.896 1.035
1.552 1.221 0.964 1.026 1.192
1.067 0.95 0.624 0.661 1.24
0.627 0.845 0.873 0.701 1.018
0.932 1.675 1.547 1.119 1.084
1.561 1.387 1.051 1.816 1.511
0.626 0.488 0.364 0.628 0.364
0.509 0.963 0.899 1.042 0.742
1.313 1.708 0.73 0.763 1.55
0.627 1.504 1.134 1.156 1.425
1.446 0.824 1.061 1.654 1.924
0.855 1.096 1.155 0.789 1.026
1.708 0.634 0.22 2.045 0.547
1.528 0.922 1.375 1.215 1.304
0.672 1.046 0.86 0.553 0.737
0.736 0.962 0.9 0.972 0.853
